run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R04_read_url_routing,False,wrong_tool,missing_tool_call,fetch,clarify,False,False,False,missing tool call fetch; extra tool call clarify
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260602T141818323936,v0,v0+pe65a53742a53+t6d1670bac4b7,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v1_B_base_openrouter_20260602T142006837225,v1,v1+p3feb43162523+tce5f2197a7ea,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
